This Filename: ,Regneration_Inventory_Post-Logging_MT 2004.xls,,
Date Created:,,,
Team ID:,ND-11,,


Data contact,Carlos Passos,,
Data were collected in a one time inventory done in January 2004,,,



Column,Column headings,Units,Descriptions
1,ID_number,,Each tree measured within a study sub-plot was given a unique id number
1,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,37,10,15.5,C,B,None
2,Jan-04,Tres-folhas,Metrodorea sp,Rutaceae,tree,H,33,RILVI,93,11,16,B,A,None
3,Jan-04,Roxinho,Peltogyne sp,Caesalpinaceae,tree,H,33,RILVI,65,11,20,B,A,None
4,Jan-04,Ingazeiro,Inga sp,Mimosaceae,tree,H,33,RILVI,36,5,7,D,C,None
5,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,40,9,13,C,B,None
6,Jan-04,Cega-corrente,Not provided,Moraceae,tree,H,33,RILVI,61,15,25,B,A,None
7,Jan-04,Canelao,Nectandra robusta Loefl.,Lauraceae,tree,H,33,RILVI,46,8,15,C,A,None
8,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,45,4,8,D,C,None
9,Jan-04,Amescla,Trattinickia sp.,Burseraceae,tree,H,33,RILVI,73,15,22,B,A,None
10,Jan-04,Amescla,Trattinickia sp.,Burseraceae,tree,H,33,RILVI,93,8,22,B,A,None
11,Jan-04,Inaja,Maximiliana maripa (Aubl.) Drude,Arecaceae,palm,H,33,RILVI,68,7,18,D,A,None
12,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,90,9,20,C,B,None
13,Jan-04,Roxinho,Peltogyne sp,Caesalpinaceae,tree,H,33,RILVI,107,12,25,B,A,None
14,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,36,10,10,E,C,None
15,Jan-04,Imbauba-branca,Cecropia sp,Cecropiaceae,tree,H,33,RILVI,70,10,25,E,A,leaning
16,Jan-04,Tres-folhas,Metrodorea sp,Rutaceae,tree,H,33,RILVI,50,4,4,D,D,broken off
17,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,46,7,13,E,B,leaning
18,Jan-04,Dente-de-mico,Not provided,Not provided,tree,H,33,RILVI,162,9,25,D,D,leaning
19,Jan-04,Inaja,Maximiliana maripa (Aubl.) Drude,Arecaceae,palm,H,33,RILVI,75,11,18,C,A,None
20,Jan-04,Canelao,Nectandra robusta Loefl.,Lauraceae,tree,H,33,RILVI,99,7,25,C,C,None
21,Jan-04,Cacau-liso,Theobroma sp,Sterculiaceae,tree,H,33,RILVI,35,3.5,7.5,E,C,leaning
22,Jan-04,Pau-formiga,Triplaris americana L.,Polygonaceae,tree,H,33,RILVI,101,9,18,B,B,None
23,Jan-04,Borracheira/caucho,Castilloa ulei Waurg,Moraceae,tree,H,33,RILVI,342,10,25,A,A,None
24,Jan-04,Tres-folhas,Metrodorea sp,Rutaceae,tree,H,33,RILVI,48,6,11,D,A,None
25,Jan-04,Tres-folhas,Metrodorea sp,Rutaceae,tree,H,33,RILVI,47,5,11,D,A,None
26,Jan-04,Canela-de-cutia,Diplokeleba floribunda N. E. Br,Sapindaceae,tree,H,33,RILVI,36,5,8,E,C,None
27,Jan-04,Canela-de-cutia,Diplokeleba floribunda N. E. Br,Sapindaceae,tree,H,33,RILVI,41,3,6,E,A,None
28,Jan-04,Canelao,Nectandra robusta Loefl.,Lauraceae,tree,H,33,RILVI,60,10,29,B,B,None
29,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,35,5,5,E,C,broken off
30,Jan-04,Roxinho,Peltogyne sp,Caesalpinaceae,tree,H,33,RILVI,58,5,18,B,A,None
31,Jan-04,Cega-corrente,Not provided,Moraceae,tree,H,33,RILVI,64.5,18,25,B,A,None
32,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,42,3,8,E,A,broken off
33,Jan-04,Cega-corrente,Not provided,Moraceae,tree,H,33,RILVI,78,9,22,B,A,None
34,Jan-04,Limaozinho,Rheedia sp,Clusiaceae,tree,H,33,RILVI,55,6,15,C,A,None
35,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,34,5,8,E,B,None
36,Jan-04,Cega-corrente,Not provided,Moraceae,tree,H,33,RILVI,37.5,8,15,D,A,None
37,Jan-04,Amescla,Trattinickia sp.,Burseraceae,tree,H,33,RILVI,73,7,15,D,C,None
38,Jan-04,Not identified,Not provided,Not provided,Not provided,H,33,RILVI,35.7,3,8,E,A,None
39,Jan-04,Canela-de-cutia,Diplokeleba floribunda N. E. Br,Sapindaceae,tree,H,33,RILVI,33.5,4,7,E,D,None
40,Jan-04,Inaja,Maximiliana maripa (Aubl.) Drude,Arecaceae,palm,H,33,RILVI,84,13,15,C,A,None
41,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,46,2.5,8,C,C,bifurcated stem
42,Jan-04,Angelim-amargo,Vatairea sp,Fabaceae,tree,H,33,RILVI,50,8,10,C,B,None
43,Jan-04,Cacau-liso,Theobroma sp,Sterculiaceae,tree,H,33,RILVI,41,3,6,C,D,bifurcated stem
44,Jan-04,Canela-de-cutia,Diplokeleba floribunda N. E. Br,Sapindaceae,tree,H,33,RILVI,34,3,8,C,B,None
45,Jan-04,Roxinho,Peltogyne sp,Caesalpinaceae,tree,H,33,RILVI,37,5,7,E,B,None
46,Jan-04,Cega-corrente,Not provided,Moraceae,tree,H,33,RILVI,47,7,10,D,A,None
47,Jan-04,Tres-folhas,Metrodorea sp,Rutaceae,tree,H,33,RILVI,38.5,7,10,D,A,None
48,Jan-04,Escova-de-macaco/Pente-de-mico,Apeiba sp,Tiliaceae,tree,H,33,RILVI,89,4,15,C,B,None
49,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,39,4,8,E,C,None
50,Jan-04,Tres-folhas,Metrodorea sp,Rutaceae,tree,H,33,RILVI,49,5,10,D,B,None
51,Jan-04,Pau-formiga,Triplaris americana L.,Polygonaceae,tree,H,33,RILVI,36,7,15,C,B,None
52,Jan-04,Tres-folhas,Metrodorea sp,Rutaceae,tree,H,33,RILVI,38.5,5,8,D,B,None
53,Jan-04,Not identified,Not provided,Not provided,Not provided,H,33,RILVI,37,7,15,C,B,None
54,Jan-04,Roxinho,Peltogyne sp,Caesalpinaceae,tree,H,33,RILVI,40.4,5,16,C,A,None
55,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,52.2,8,15,C,A,None
56,Jan-04,Sete-pernas,Iriartea exorrhiza,Arecaceae,palm,H,33,RILVI,47,22,25,E,A,None
57,Jan-04,Cacau-liso,Theobroma sp,Sterculiaceae,tree,H,33,RILVI,50,6,10,D,B,None
58,Jan-04,Embireira,Xylopia sp,Annonaceae,tree,H,33,RILVI,43.5,4,8,D,C,None
59,Jan-04,Bajao,Parkia paraensis Ducke,Mimosaceae,tree,H,33,RILVI,47.5,7,11,C,A,None
